target,target_freq,relatum,relatum_freq,pos,relation,g_square,g_pvalue,order,order_pvalue,distance,relatum_is
purple,7316,agreed,379,ADJ,UNR,2.0244765281677246,0.1547822511559856,0.0,1.0,10.0,UNR
legend,8149,self-confidence,1380,NOUN,UNR,4.593541502952576,0.0320926372943426,0.0,0.25,89.66666666666667,UNR
heavy,36641,freshwater,1516,ADJ,UNR,2.06515896320343,0.1506992137948795,0.0,0.03125,16.333333333333332,UNR
edge,39526,ligament,1064,NOUN,UNR,2.20427143573761,0.1376289037283513,-0.0,0.0625,19.6,UNR
break,13253,half-cups,1,NOUN,UNR,14.396345615386965,0.0001480894195934,-0.0,1.0,13.0,UNR
silence,17110,labyrinth,917,NOUN,UNR,25.58560144901276,4.231854423553117e-07,-0.1111111111111111,0.00390625,57.66666666666666,UNR
bright,28231,unhopeful,3,ADJ,UNR,9.071205377578735,0.0025966584780314,-0.0,1.0,6.0,UNR
employee,40270,hate,4447,NOUN,UNR,9.750187635421751,0.0017930441251182,0.0,0.5,31.5,UNR
procession,1989,rapture,584,NOUN,UNR,3.58270275592804,0.0583840879715299,-0.0,1.0,52.0,UNR
doubt,14488,ballpark,1159,NOUN,UNR,2.813341498374939,0.0934834708637677,-0.0,0.25,24.0,UNR
ton,13662,panton,4,NOUN,UNR,9.841501474380491,0.0017061817484276,-0.0,1.0,2.0,UNR
belt,12922,hater,1491,NOUN,UNR,0.0072239637374877,0.9322662369820603,-0.0,1.0,22.0,UNR
actual,29395,morbid,681,ADJ,UNR,2.1243464946746826,0.1449746031940725,-0.0,0.25,14.666666666666666,UNR
rail,8897,vacuum,4823,NOUN,UNR,0.1283193826675415,0.7201809641392124,0.0,0.25,30.666666666666668,UNR
exhibition,11658,schist,40,NOUN,UNR,13.474602103233336,0.0002418144653465,-0.0,0.5,20.5,UNR
ensure,22852,word,515,VERB,UNR,1.741177678108215,0.1869896763056561,0.0,0.5,30.0,UNR
casual,7214,pouring,200,ADJ,UNR,3.183239340782165,0.0743971038577296,-0.0,1.0,8.0,UNR
scare,6008,keel,275,VERB,UNR,2.934618592262268,0.0866991379708619,-0.0,1.0,6.0,UNR
accommodation,4891,ayatollah,769,NOUN,UNR,5.4014387130737305,0.0201201592287313,-0.0,0.5,12.0,UNR
education,101059,bet,4490,NOUN,UNR,6.340903162956238,0.0117984791115723,0.1428571428571428,0.0001220703125,18.571428571428573,UNR
hurricane,11350,inlet,1425,NOUN,UNR,5.6532509326934814,0.0174230428446295,0.0,0.125,34.25,UNR
area,145621,hemorrhage,354,NOUN,UNR,6.077081680297852,0.0136946820953092,-0.25,0.0078125,12.625,UNR
know,660208,brick,57,VERB,UNR,0.334025502204895,0.5632982858251319,-0.0,0.25,16.0,UNR
dog,52228,powerhouse,1338,NOUN,UNR,3.1502407789230347,0.0759157602232085,0.0,1.0,17.0,UNR
pillar,3359,decay,2139,NOUN,UNR,3.196033477783203,0.0738170996423721,-0.0,0.5,48.5,UNR
dynastic,252,ruled,55,ADJ,UNR,27.477033138275143,1.589711549065953e-07,0.0,0.5,17.0,UNR
selection,17039,liaison,1699,NOUN,UNR,2.4341624975204468,0.1187172850353254,0.0,0.125,12.75,UNR
drive,18262,combat,5704,NOUN,UNR,0.6780728101730347,0.4102511359020082,-0.0,0.125,32.5,UNR
regional,18741,martian,1614,ADJ,UNR,0.3449863195419311,0.5569650675418797,0.0,1.0,11.0,UNR
right,94531,goglia,1,NOUN,UNR,10.466873168945312,0.0012153425150503,-0.0,1.0,42.0,UNR
